Digi-Key Part Number,Manufacturer,Manufacturer Part Number,Quantity,Description,,Reference
490-4681-1-ND,MURATA ELECTRONICS (VA),SFECF10M7GA00-R0,1,FILTER 10.7 MHZ 230 KHZ BAND SMD,,F1
490-1229-1-ND,MURATA ELECTRONICS (VA),SFECV10M7KA00-R0,0,FILTER 10.7MHZ 110KHZ BANDWIDTH,,F1 (alt)
J502-ND,EMERSON NETWORK POWER CONNECTIVITY JOHNSON,142-0701-801,1,CONN SMA JACK 50 OHM EDGE MNT,,P5
490-5703-1-ND,MURATA ELECTRONICS (VA),LQW2UASR75J00L,1,IND 750NH 360MA SRF 360MHZ 1008,,L1
AD603ARZ-ND,ANALOG DEVICES INC,AD603ARZ,1,IC OPAMP VGA 90MHZ 8SOIC,,U4
AD8307ARZ-ND,ANALOG DEVICES INC,AD8307ARZ,1,IC LOGARITHMIC AMP 92DB 8-SOIC,,U5
KA78L05AMTFCT-ND,FAIRCHILD SEMICONDUCTOR (VA),KA78L05AMTF,1,IC REG LDO 5V 0.1A SOT89-3,,U1
KA79L05AMTFCT-ND,FAIRCHILD SEMICONDUCTOR (VA),KA79L05AMTF,1,IC REG LDO -5V 0.1A SOT89-3,,U2
495-1497-1-ND,KEMET (VA),T498A334K035ZTE11K,2,CAP TANT 0.33UF 35V 10% 1206,,"C1, C4"
SM-42TW502CT-ND,COPAL ELECTRONICS INC (VA),SM-42TW502,1,TRIMMER 5K OHM 0.25W SMD,,RV1
HM182-ND,HAMMOND MANUFACTURING,1550Z102,1,"BOX ALUM 3.55X1.43X1.20"" UNPTD",,
490-5216-1-ND,MURATA ELECTRONICS (VA),BLM18HE152SN1D,20,FERRITE CHIP 1500 OHM 500MA 0603,,"L2, L3, L4, L5, L6"
445-7031-1-ND,TDK CORPORATION (VA),C1608C0G1H151F080AA,1,CAP CER 150PF 50V 1% NP0 0603,,C10
445-7318-1-ND,TDK CORPORATION (VA),C0603X5R1A104K030BC,100,CAP CER 0.1UF 10V 10% X5R 0201,,
1276-4604-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608F331CS,10,RES 330 OHM 1/10W 1% 0603,,
1276-1018-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",CL10B102KB8NNNC,100,CAP CER 1000PF 50V 10% X7R 0603,,
1276-4618-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608F4640CS,10,RES 464 OHM 1/10W 1% 0603,,
1276-4861-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608F1873CS,10,RES 187K OHM 1/10W 1% 0603,,
1276-4783-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608F2802CS,10,RES 28K OHM 1/10W 1% 0603,,
1276-4486-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608F4R7CS,10,RES 4.7 OHM 1/10W 1% 0603,,
1276-3486-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608F104CS,20,RES 100K OHM 1/10W 1% 0603,,
1276-4768-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608F203CS,20,RES 20K OHM 1/10W 1% 0603,,
1276-4830-1-ND,"SAMSUNG ELECTRO-MECHANICS AMERICA, INC (VA)",RC1608F8062CS,10,RES 80.6K OHM 1/10W 1% 0603,,
490-5219-1-ND,MURATA ELECTRONICS (VA),BLM18HK102SN1D,20,FERRITE CHIP 1000 OHM 50MA 0603,,
